,CO2_eq_conc_ppm,log_CO2_eq_conc
1827.5,286.5794810410213,5.658015918417326
1828.5,286.73256296641307,5.658549944976265
1829.5,286.80850998501325,5.658814780478466
1830.5,286.92408360090667,5.659217663698799
1831.5,287.001988951692,5.659489145880876
1832.5,287.1044702930561,5.6598461575145285
1833.5,287.2055607629122,5.660198198974484
1834.5,287.3429618369879,5.660676491307648
1835.5,287.4437818374368,5.661027299681684
1836.5,287.5351636946371,5.661345161261416
1837.5,287.6684901979366,5.66180874143788
1838.5,287.80149395488786,5.6622709853879805
1839.5,287.87955480828776,5.662542180189497
1840.5,287.9687561661183,5.662851988716653
1841.5,288.11169387962065,5.663348230921797
1842.5,288.1835626121481,5.663597647282909
1843.5,288.2624696752768,5.66387141814506
1844.5,288.3918703585761,5.664320216242943
1845.5,288.50458839798665,5.664710990147459
1846.5,288.60606938977713,5.665062676575242
1847.5,288.7381693472688,5.665520289039119
1848.5,288.88081990593173,5.666014215188422
1849.5,288.9678313460146,5.666315371695587
1850.5,289.07930244982185,5.6667010534113915
1851.5,289.193102472904,5.667094639629867
1852.5,289.3590119022847,5.667668172868468
1853.5,289.55864597109354,5.66835785325395
1854.5,289.7784186625858,5.669116557350238
1855.5,289.9397051822679,5.669672988198988
1856.5,290.09325630169513,5.67020244474098
1857.5,290.3769872417291,5.67118003477522
1858.5,290.64591024538737,5.672105722984839
1859.5,290.8986782213478,5.6729750217347235
1860.5,291.1826680669758,5.673950795550435
1861.5,291.5071659929716,5.675064588654669
1862.5,291.78324508403284,5.676011215262735
1863.5,292.0790386812869,5.677024446056313
1864.5,292.43281688548007,5.678234954428468
1865.5,292.78771229770456,5.679447815010187
1866.5,293.10971454491994,5.680546991299015
1867.5,293.4820936974345,5.681816627858217
1868.5,293.8310064029563,5.683004793919932
1869.5,294.05883349391365,5.683779861243437
1870.5,294.3301971424452,5.684702256643902
1871.5,294.5396242504779,5.685413541580756
1872.5,294.7585021977026,5.68615638445592
1873.5,295.0611061380705,5.687182474340492
1874.5,295.3792510254866,5.68826012736453
1875.5,295.67419557955543,5.689258157509671
1876.5,295.98073926730973,5.690294382164041
1877.5,296.3224315411136,5.691448157218942
1878.5,296.6761923656132,5.692641282640162
1879.5,297.00405178209536,5.693745781073601
1880.5,297.3494136687292,5.694907924295031
1881.5,297.751061629171,5.696257773734246
1882.5,298.10830251719074,5.697456851745999
1883.5,298.43317884542455,5.698546051308819
1884.5,298.83902665308574,5.699905056018525
1885.5,299.25193460445814,5.701285809260821
1886.5,299.6838800018525,5.702728185761766
1887.5,300.15817792929954,5.704309595467944
1888.5,300.66920321719937,5.706010667779768
1889.5,301.15581228394996,5.707627779598849
1890.5,301.6584578870708,5.7092954432375045
1891.5,302.1259458453247,5.710843969661112
1892.5,302.6269187617296,5.712500755632107
1893.5,303.1135508431452,5.714107490564062
1894.5,303.6294087818778,5.715807907700663
1895.5,304.04800749823585,5.717185608340357
1896.5,304.36330566613145,5.718222072289332
1897.5,304.7911607476837,5.719626823220337
1898.5,305.23557639122066,5.7210838600848
1899.5,305.74037858446474,5.722736305828367
1900.5,306.26388403204794,5.724447096446159
1901.5,306.7679381116021,5.726091559832685
1902.5,307.2800038048385,5.727759396419967
1903.5,307.81551516967585,5.729500626793522
1904.5,308.4426544204018,5.731535940881567
1905.5,309.07637109552354,5.733588402008763
1906.5,309.73328141145555,5.735711544594
1907.5,310.5396138687204,5.738311474133433
1908.5,311.24885547653776,5.740592770588342
1909.5,311.95163381080937,5.7428481559555165
1910.5,312.73109816696365,5.745343710004897
1911.5,313.43765258477833,5.747600464966994
1912.5,314.1815839798644,5.749971111690838
1913.5,314.9694415982533,5.752475623320585
1914.5,315.68245745740165,5.754736826891121
1915.5,316.3696769655064,5.75691139364435
1916.5,317.26531996230216,5.759738395301872
1917.5,318.1470887034318,5.762513818932648
1918.5,318.9155296168809,5.764926270280568
1919.5,319.5639916393586,5.766957540584015
1920.5,320.3752929284135,5.769493099013629
1921.5,321.0060740638949,5.77146004526842
1922.5,321.66092850515923,5.7734979736676975
1923.5,322.44569385020276,5.775934730894281
1924.5,322.9477893974364,5.777490667424667
1925.5,323.28668095248076,5.7785394867051565
1926.5,323.50178096562183,5.779204619229114
1927.5,323.9096548899894,5.780464633976279
1928.5,324.29088006135106,5.781640890997865
1929.5,324.77389030830875,5.783129218074508
1930.5,325.16102342989024,5.784320516338943
1931.5,325.4495278560836,5.785207389275551
1932.5,325.94016800634915,5.786713830799478
1933.5,326.4554405839673,5.788293463396562
1934.5,327.18788492644995,5.7905345775346895
1935.5,327.9058313335204,5.79272646757024
1936.5,329.0668081265955,5.796260794365201
1937.5,330.1026626093082,5.799403704895409
1938.5,330.79234458743736,5.80149082076397
1939.5,331.7782532823407,5.804466833963854
1940.5,332.5217146066992,5.806705165051311
1941.5,333.2129978308444,5.808781918628024
1942.5,333.8871538696303,5.810803073222473
1943.5,334.5042282129454,5.812649519885839
1944.5,334.8027648340389,5.813541596747407
1945.5,334.92463705851605,5.8139055425124395
1946.5,335.14706509411775,5.814569435773584
1947.5,335.64313759245886,5.816048505046779
1948.5,336.11306080280394,5.817447593847513
1949.5,336.40212941063044,5.818307258074688
1950.5,337.03290629427227,5.820180570375545
1951.5,337.4341496163604,5.821370379027893
1952.5,338.15681420155016,5.823509735234591
1953.5,339.16099678354516,5.826474911408796
1954.5,340.14699746175444,5.82937786965158
1955.5,341.2573490695832,5.832636882002321
1956.5,342.4837443996351,5.836224194969038
1957.5,343.68922995046194,5.839737847753709
1958.5,344.5439026661851,5.842221521132875
1959.5,345.6193851576814,5.845338126669577
1960.5,347.0713650401749,5.849530421741121
1961.5,348.41597626352404,5.853397100022064
1962.5,350.0270519061724,5.858010442657144
1963.5,352.0136577003837,5.863669975130566
1964.5,353.69209797539463,5.868426754925384
1965.5,355.2863906562982,5.872924198483347
1966.5,357.3943582858765,5.878839817166703
1967.5,359.2572146213707,5.884038607210847
1968.5,361.5551864340972,5.890414689516267
1969.5,363.8432841151495,5.896723236783389
1970.5,367.294443117973,5.906163823710287
1971.5,369.55851656567967,5.9123090947390695
1972.5,373.5768085701492,5.923123628866221
1973.5,377.79300192394214,5.934346431666477
1974.5,380.14801596434967,5.940560692574544
1975.5,381.65411409051273,5.944514737933562
1976.5,384.3733135048683,5.951614250921546
1977.5,388.20629295579005,5.9615368812057605
1978.5,391.95622864420557,5.971150171933915
1979.5,395.6394127136791,5.980503222474823
1980.5,399.6082899353241,5.990484792143106
1981.5,402.4804867156007,5.997646615473727
1982.5,405.3370633499066,6.004718976159181
1983.5,408.24541885031346,6.011868510355436
1984.5,411.6867206904687,6.020262673435328
1985.5,415.02561875011855,6.028340250253358
1986.5,418.5887982800335,6.036889049692148
1987.5,422.3487360367715,6.045831361477591
1988.5,427.3094078052436,6.057508359269871
1989.5,431.1112442070617,6.066366164008772
1990.5,434.1383338921237,6.073363224999986
1991.5,437.98719246412173,6.082189668999427
1992.5,439.0250326646305,6.084556433464582
1993.5,440.69194130708735,6.088346085561137
1994.5,443.7477772176963,6.095256331690199
1995.5,446.3989254866109,6.101213004000161
1996.5,449.126092171829,6.10730367720769
1997.5,452.32820206270355,6.114408027099549
1998.5,456.15596620336487,6.122834782182797
1999.5,458.91219885597815,6.12885890386721
2000.5,460.75409658549864,6.132864487634658
2001.5,463.1871636458029,6.1381312135384425
2002.5,466.48492253085317,6.1452256993596235
2003.5,470.26656026965463,6.153299683445508
2004.5,473.1793523855971,6.1594744971404
2005.5,476.22224932097623,6.165884655600891
2006.5,479.5621653985976,6.172873532215441
2007.5,482.62715773111023,6.179244425397737
2008.5,485.75610215669906,6.185706650518735
2009.5,487.81977861579776,6.189946031527681
2010.5,491.6167782803406,6.197699507053202
2011.5,494.7612569102896,6.204075336948019
2012.5,498.1292076103358,6.210859496405338
2013.5,501.9501245863704,6.218500761342247
2014.5,505.5596982342847,6.225666128884778
2015.5,509.6809715778268,6.233784984057057
2016.5,514.253410785308,6.242716161054208
2017.5,517.9161053014535,6.249813270265225
2018.5,521.8033022158638,6.25729070119135
2019.5,526.230618492312,6.265739554850079
2020.5,529.3174002385142,6.271588252380874
2021.5,534.1701990588093,6.2807145130074575
2022.5,537.9009044197052,6.287674350667828
2023.5,542.9768644716277,6.29706671215999
