,CO2_eq_conc_ppm,log_CO2_eq_conc
1750.5,278.377857,5.628979388659127
1751.5,278.4689158312287,5.629306440323905
1752.5,278.57096323902414,5.629672832077068
1753.5,278.67705730701505,5.630053610708345
1754.5,278.79747551573865,5.630485624023776
1755.5,278.90606546038777,5.630875042193262
1756.5,278.9871949994857,5.631165884708918
1757.5,279.1472935848725,5.631739576509201
1758.5,279.23868168180036,5.632066905997375
1759.5,279.33311938766053,5.632405045898383
1760.5,279.44170889182874,5.632793715895812
1761.5,279.55955473874445,5.6332153458860414
1762.5,279.6341769580345,5.633482238075647
1763.5,279.74733495410993,5.633886820619794
1764.5,279.83666299312733,5.634206086503392
1765.5,279.96814714567284,5.634675836504043
1766.5,280.0687320612478,5.6350350446933275
1767.5,280.17402507312505,5.635410928225158
1768.5,280.32591467768356,5.635952907260317
1769.5,280.39967072048256,5.6362159808390695
1770.5,280.50767989911617,5.636601103907432
1771.5,280.58734517142665,5.636885067476118
1772.5,280.6826136986266,5.637224542363771
1773.5,280.7872777334844,5.637597363908317
1774.5,280.92846434759167,5.638100061648485
1775.5,281.03254669973074,5.638470487180802
1776.5,281.1058644592921,5.638731340232369
1777.5,281.2506167626096,5.639246146449948
1778.5,281.37760311788026,5.639697550602602
1779.5,281.4474992468219,5.639945926622105
1780.5,281.5634595028927,5.64035785557627
1781.5,281.6740731546903,5.640750633567103
1782.5,281.7532375670914,5.641031643775219
1783.5,281.8551350828864,5.641393233566465
1784.5,281.9615705261444,5.641770786921884
1785.5,282.075659044912,5.6421753294390875
1786.5,282.1775729484268,5.642536564072208
1787.5,282.30008990232045,5.6429706537231565
1788.5,282.45081854847325,5.643504441796717
1789.5,282.52341365664245,5.643761427352626
1790.5,282.63550152794517,5.6441580870168755
1791.5,282.71335097621596,5.644433490242399
1792.5,282.8156866229057,5.64479540144767
1793.5,282.9116193122697,5.645134549617741
1794.5,283.05472392705,5.6456402497164815
1795.5,283.1570677842941,5.6460017535207365
1796.5,283.2234773441269,5.646236258609967
1797.5,283.3743920083665,5.646768963288087
1798.5,283.49874479968213,5.647207695643656
1799.5,283.57682640403954,5.647483079062784
1800.5,283.6843061457644,5.647862021799537
1801.5,283.7967618005028,5.648258354514626
1802.5,283.88213851561864,5.648559146796009
1803.5,283.97405036097376,5.648882862018131
1804.5,284.0961545675043,5.649312753279287
1805.5,284.20555237195464,5.649697752319289
1806.5,284.31649174002627,5.650088025205377
1807.5,284.4314037000011,5.6504921127192285
1808.5,284.5847196801293,5.651030993701818
1809.5,284.65783145097333,5.65128786758133
1810.5,284.76985775320657,5.651681337396032
1811.5,284.85946264335314,5.651995945116095
1812.5,284.9504605342983,5.652315342473064
1813.5,285.05355924679594,5.65267708979429
1814.5,285.19622889699804,5.6531774657914236
1815.5,285.3025689073372,5.653550262410733
1816.5,285.3837774128002,5.653834861846254
1817.5,285.515686622682,5.654296971974355
1818.5,285.65432774400443,5.654782435568585
1819.5,285.72776486902177,5.655039486415544
1820.5,285.83986669219445,5.65543174734293
1821.5,285.9574351359715,5.6558429715479335
1822.5,286.0308741113652,5.656099756431855
1823.5,286.1250214010544,5.656428853068899
1824.5,286.25257732736344,5.656874558591631
1825.5,286.357711371279,5.657241768357756
1826.5,286.45972979107023,5.657597967081953
